Invoice ID,Invoice Name,Invoice Description,Invoice Amount,Invoice Date,Department,Project Name,Project Stage,Vendor Name,Recurring Expense?,Useful Life Expectancy,True Value,Record Owner
I-0002,HVAC Control System,Smart thermostats and control panels,15750,2/3/2025,Operations,HVAC System Upgrade,Execution,Climate Masters Inc.,FALSE,10,CapEx,
I-0003,Software License Annual Renewal,Cloud-based project management software,4200,1/15/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,ProjectFlow Solutions,TRUE,1,OpEx,
I-0004,Consultant Fee,Architecture consulting services,8500,1/20/2025,Operations,Downtown Office Tower,Planning,Structural Vision Partners,FALSE,0,OpEx,
I-0005,Roof Inspection Service,Annual preventive maintenance,1200,2/10/2025,Operations,Annual Roof Inspection,Execution,TopGuard Roofing,TRUE,0,OpEx,
I-0006,Server Infrastructure,New server hardware for AI development,32000,1/5/2025,Information Technology (IT),AI Software Development,Execution,TechForge Systems,FALSE,5,CapEx,
I-0007,Professional Development,Leadership training for project managers,3600,1/25/2025,Human Resources (HR),Employee Training Initiative,Execution,Growth Mindset Inc.,FALSE,0,OpEx,
I-0008,Building Materials,"Concrete, steel, and glass for tower construction",125000,1/18/2025,Operations,Downtown Office Tower,Execution,BuildRight Materials,FALSE,40,CapEx,
I-0009,Cleaning Services,Monthly office cleaning,850,1/30/2025,Operations,Downtown Office Tower,Ongoing Maintenance,CleanSpace Solutions,TRUE,0,OpEx,
I-0010,Air Conditioning Units,10 high-efficiency units for office spaces,47500,2/5/2025,Operations,HVAC System Upgrade,Execution,Cool Systems LLC,FALSE,12,CapEx,
I-0011,Cloud Storage Subscription,Expanded storage for development team,950,1/10/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,CloudSafe Storage,TRUE,1,OpEx,
I-0012,Elevator Maintenance,Quarterly elevator inspection and maintenance,3200,2/15/2025,Operations,Downtown Office Tower,Ongoing Maintenance,Elevate Maintenance Co.,TRUE,0,OpEx,
I-0013,Ventilation System,Complete ductwork replacement,28750,1/22/2025,Operations,HVAC System Upgrade,Execution,AirFlow Masters,FALSE,15,CapEx,
I-0014,Technical Documentation,Software architecture documentation services,5800,1/8/2025,Information Technology (IT),AI Software Development,Planning,DocuTech Writers,FALSE,0,OpEx,
I-0015,Safety Equipment,"Hard hats, vests, and safety gear",2100,2/1/2025,Operations,Downtown Office Tower,Execution,SafeGuard Supplies,FALSE,3,CapEx,
I-0016,Drone Roof Survey,Aerial inspection of roof condition,1750,2/12/2025,Operations,Annual Roof Inspection,Execution,SkyView Inspections,FALSE,0,OpEx,
I-0017,ML Algorithm Development,Custom machine learning algorithm design,18500,1/17/2025,Research and Development (R&D),AI Software Development,Execution,Neural Dynamics LLC,FALSE,3,CapEx,
I-0018,Team Building Workshop,Cross-functional team collaboration training,4200,2/20/2025,Human Resources (HR),Employee Training Initiative,Execution,TeamSync Facilitators,FALSE,0,OpEx,
I-0019,Construction Equipment Rental,Crane and heavy equipment for tower construction,13500,1/28/2025,Operations,Downtown Office Tower,Execution,Heavy Lifters Rentals,FALSE,0,OpEx,
I-0020,Thermostats,Smart thermostats for 30 zones,9600,2/7/2025,Operations,HVAC System Upgrade,Execution,TempControl Systems,FALSE,8,CapEx,
I-0021,Software Development Tools,Integrated development environment licenses,7200,1/14/2025,Information Technology (IT),AI Software Development,Execution,DevTools Inc.,TRUE,1,OpEx,
I-0022,Interior Design Consultation,Office layout and design services,6500,1/19/2025,Operations,Downtown Office Tower,Planning,Workspace Visionaries,FALSE,0,OpEx,
I-0023,Moisture Detection System,Roof leak detection system installation,8900,2/14/2025,Operations,Annual Roof Inspection,Execution,LeakSentry Technologies,FALSE,7,CapEx,
I-0024,Technical Training Course,Python and TensorFlow certification,2800,1/26/2025,Information Technology (IT),Employee Training Initiative,Execution,CodeMasters Academy,FALSE,0,OpEx,
I-0025,Plumbing Infrastructure,Water supply and drainage system,42000,1/9/2025,Operations,Downtown Office Tower,Execution,FlowRight Plumbing,FALSE,25,CapEx,
I-0026,Energy Efficiency Audit,HVAC system performance assessment,3200,2/8/2025,Operations,HVAC System Upgrade,Planning,EcoMetrics Consultants,FALSE,0,OpEx,
I-0027,Data Storage Hardware,High-capacity storage array,16500,1/12/2025,Information Technology (IT),AI Software Development,Execution,DataVault Systems,FALSE,5,CapEx,
I-0028,Roof Sealant Application,Waterproofing treatment for roof surface,5700,2/16/2025,Operations,Annual Roof Inspection,Execution,SealTight Roofing,FALSE,3,CapEx,
I-0029,Leadership Coaching,Executive coaching for project leaders,9200,1/27/2025,Human Resources (HR),Employee Training Initiative,Execution,Executive Excellence,FALSE,0,OpEx,
I-0030,Electrical Wiring,Complete rewiring of three floors,67000,1/16/2025,Operations,Downtown Office Tower,Execution,PowerLine Electrical,FALSE,30,CapEx,
I-0031,Air Quality Monitoring,Sensors and monitoring equipment,4800,2/4/2025,Operations,HVAC System Upgrade,Execution,CleanAir Monitors,FALSE,6,CapEx,
I-0032,API Integration Services,Third-party API connection development,7800,1/11/2025,Information Technology (IT),AI Software Development,Execution,ConnectFlow Solutions,FALSE,3,CapEx,
I-0033,Drone Photography,Aerial progress photos of construction,950,1/21/2025,Marketing,Downtown Office Tower,Execution,SkyCapture Images,FALSE,0,OpEx,
I-0034,Heating System Replacement,Boiler and radiator upgrades,36000,2/9/2025,Operations,HVAC System Upgrade,Execution,WarmTech Heating,FALSE,15,CapEx,
I-0035,Software Testing Services,Quality assurance and bug testing,12500,1/13/2025,Information Technology (IT),AI Software Development,Execution,BugHunters QA,FALSE,0,OpEx,
I-0036,Temporary Office Space,Rental during tower construction,8500,1/29/2025,Operations,Downtown Office Tower,Execution,FlexSpace Rentals,TRUE,0,OpEx,
I-0037,Roof Drainage System,Gutter and downspout installation,14200,2/17/2025,Operations,Annual Roof Inspection,Execution,RainFlow Systems,FALSE,10,CapEx,
I-0038,Cybersecurity Training,Security awareness program,3600,1/24/2025,Information Technology (IT),Employee Training Initiative,Execution,SecureMinds Training,FALSE,0,OpEx,
I-0039,Window Installation,Energy-efficient windows for tower,86000,1/7/2025,Operations,Downtown Office Tower,Execution,ClearView Windows,FALSE,20,CapEx,
I-0040,Ductwork Cleaning,Deep cleaning of ventilation system,4300,2/6/2025,Operations,HVAC System Upgrade,Ongoing Maintenance,DuctClean Services,TRUE,0,OpEx,
I-0041,Database Architecture,Custom database design and implementation,14500,1/15/2025,Information Technology (IT),AI Software Development,Planning,DataStructure Solutions,FALSE,5,CapEx,
I-0042,Landscape Design,Exterior landscaping for tower grounds,18700,1/25/2025,Operations,Downtown Office Tower,Planning,GreenScape Designers,FALSE,0,OpEx,
I-0043,Roof Tile Replacement,Partial replacement of damaged tiles,7600,2/13/2025,Operations,Annual Roof Inspection,Execution,TileWorks Roofing,FALSE,15,CapEx,
I-0044,Compliance Training,Industry regulation training course,2400,1/22/2025,Legal,Employee Training Initiative,Execution,RegulatoryPro Trainers,FALSE,0,OpEx,
I-0045,Elevator Installation,Six high-speed elevators for tower,275000,1/6/2025,Operations,Downtown Office Tower,Execution,Vertical Transport Inc.,FALSE,20,CapEx,
I-0046,Building Automation System,HVAC building management system,26000,2/2/2025,Operations,HVAC System Upgrade,Execution,SmartBuilding Controls,FALSE,10,CapEx,
I-0047,UX Design Services,User interface design for AI platform,9800,1/18/2025,Information Technology (IT),AI Software Development,Planning,UserCentric Design,FALSE,0,OpEx,
I-0048,Insulation Materials,Thermal insulation for tower walls,32000,1/23/2025,Operations,Downtown Office Tower,Execution,ThermalGuard Insulation,FALSE,30,CapEx,
I-0049,Air Balancing Service,HVAC airflow optimization,2800,2/11/2025,Operations,HVAC System Upgrade,Completion,BalanceFlow Technicians,FALSE,0,OpEx,
I-0050,GPU Server Cluster,High-performance computing hardware,84000,1/9/2025,Information Technology (IT),AI Software Development,Execution,ComputeForge Systems,FALSE,4,CapEx,
I-0051,Architectural Drawings,Detailed construction blueprints,16500,1/31/2025,Operations,Downtown Office Tower,Planning,DesignPrecision Architects,FALSE,0,OpEx,
I-0052,Waterproofing Materials,Roofing membrane and sealants,8900,2/18/2025,Operations,Annual Roof Inspection,Execution,DryShield Materials,FALSE,8,CapEx,
I-0053,Project Management Training,Agile methodology certification,5200,1/26/2025,Human Resources (HR),Employee Training Initiative,Execution,AgileMinds Institute,FALSE,0,OpEx,
I-0054,Fire Suppression System,Sprinklers and fire safety equipment,52000,1/8/2025,Operations,Downtown Office Tower,Execution,FireGuard Systems,FALSE,15,CapEx,
I-0055,Temperature Control Upgrade,Zone-based climate control system,19500,2/5/2025,Operations,HVAC System Upgrade,Execution,ComfortZone Controls,FALSE,10,CapEx,
I-0056,Web Application Security,Penetration testing and security audit,8700,1/19/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,CyberShield Security,FALSE,0,OpEx,
I-0057,Construction Site Security,24/7 security personnel,6300,1/30/2025,Operations,Downtown Office Tower,Execution,VigilantGuard Services,TRUE,0,OpEx,
I-0058,Humidity Control System,Dehumidifiers and moisture control,12400,2/10/2025,Operations,HVAC System Upgrade,Execution,DryAir Systems,FALSE,8,CapEx,
I-0059,Data Visualization Tools,Business intelligence software licenses,5600,1/14/2025,Information Technology (IT),AI Software Development,Execution,InsightView Analytics,TRUE,1,OpEx,
I-0060,Roof Core Sampling,Structural integrity assessment,2300,2/15/2025,Operations,Annual Roof Inspection,Planning,CoreTest Laboratories,FALSE,0,OpEx,
I-0061,Diversity and Inclusion Workshop,Inclusive workplace training,3800,1/27/2025,Human Resources (HR),Employee Training Initiative,Execution,InclusiveCulture Training,FALSE,0,OpEx,
I-0062,Concrete Foundation,Structural foundation for tower,185000,1/5/2025,Operations,Downtown Office Tower,Execution,SolidBase Concrete,FALSE,50,CapEx,
I-0063,Heat Pump Installation,Energy-efficient heat pumps,42000,2/3/2025,Operations,HVAC System Upgrade,Execution,EcoHeat Solutions,FALSE,15,CapEx,
I-0064,Natural Language Processing,NLP model development and training,22500,1/17/2025,Research and Development (R&D),AI Software Development,Execution,LanguageLogic AI,FALSE,3,CapEx,
I-0065,Permits and Licenses,Construction and building permits,8400,1/20/2025,Legal,Downtown Office Tower,Planning,CityPermit Services,FALSE,0,OpEx,
I-0066,Air Filtration System,HEPA filters and air purifiers,14600,2/7/2025,Operations,HVAC System Upgrade,Execution,PureAir Filtration,FALSE,5,CapEx,
I-0067,Cloud Infrastructure,AWS reserved instances - 3 year term,36000,1/11/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,CloudScale Solutions,TRUE,3,CapEx,
I-0068,Building Facade Materials,Exterior cladding and finishing,96000,1/22/2025,Operations,Downtown Office Tower,Execution,FacadeTech Materials,FALSE,25,CapEx,
I-0069,Roof Drain Cleaning,Preventive maintenance service,850,2/19/2025,Operations,Annual Roof Inspection,Ongoing Maintenance,DrainMaster Services,TRUE,0,OpEx,
I-0070,Conflict Resolution Training,Team communication workshop,3200,1/28/2025,Human Resources (HR),Employee Training Initiative,Execution,HarmonyWorks Training,FALSE,0,OpEx,
I-0071,Interior Lighting,LED lighting fixtures and installation,28500,1/6/2025,Operations,Downtown Office Tower,Execution,BrightSpace Lighting,FALSE,10,CapEx,
I-0072,Refrigerant Replacement,Environmentally friendly coolant upgrade,5800,2/8/2025,Operations,HVAC System Upgrade,Execution,CoolChem Solutions,FALSE,0,OpEx,
I-0073,UI/UX Testing,User experience research and testing,7600,1/16/2025,Information Technology (IT),AI Software Development,Execution,UserInsight Research,FALSE,0,OpEx,
I-0074,Structural Steel,Main frame steel for tower structure,215000,1/24/2025,Operations,Downtown Office Tower,Execution,SteelCore Construction,FALSE,40,CapEx,
I-0075,Infrared Roof Scan,Thermal imaging for leak detection,1850,2/14/2025,Operations,Annual Roof Inspection,Execution,ThermalScan Inspections,FALSE,0,OpEx,
I-0076,Project Management Software,Enterprise PM tool implementation,12500,1/25/2025,Information Technology (IT),Employee Training Initiative,Planning,ProjectPro Solutions,TRUE,1,OpEx,
I-0077,Parking Garage Construction,Multi-level parking structure,156000,1/10/2025,Operations,Downtown Office Tower,Execution,ParkWorks Builders,FALSE,30,CapEx,
I-0078,Energy Recovery Ventilator,Heat recovery ventilation system,21000,2/1/2025,Operations,HVAC System Upgrade,Execution,EcoVent Systems,FALSE,12,CapEx,
I-0079,IT Security Assessment,Network vulnerability assessment,9800,1/13/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,SecureNet Consultants,FALSE,0,OpEx,
I-0080,Soundproofing Materials,Acoustic treatments for office spaces,18500,1/29/2025,Operations,Downtown Office Tower,Execution,QuietSpace Acoustics,FALSE,15,CapEx,
I-0081,Cooling Tower Maintenance,Quarterly preventive maintenance,3600,2/9/2025,Operations,HVAC System Upgrade,Ongoing Maintenance,CoolTower Services,TRUE,0,OpEx,
I-0082,Model Optimization,AI model performance tuning,16500,1/18/2025,Research and Development (R&D),AI Software Development,Execution,AlgoTune Optimization,FALSE,3,CapEx,
I-0083,Sewage System,Plumbing waste management system,64000,1/7/2025,Operations,Downtown Office Tower,Execution,WasteFlow Systems,FALSE,25,CapEx,
I-0084,Roof Fall Protection,Safety railing and harness anchors,9200,2/16/2025,Operations,Annual Roof Inspection,Execution,SafeHeight Protection,FALSE,10,CapEx,
I-0085,Customer Service Training,Client communication workshop,3400,1/26/2025,Customer Service,Employee Training Initiative,Execution,ClientFirst Training,FALSE,0,OpEx,
I-0086,Environmental Impact Assessment,Building sustainability report,7800,1/23/2025,Legal,Downtown Office Tower,Planning,EcoAssess Consultants,FALSE,0,OpEx,
I-0087,Filtration System Upgrade,MERV-13 filter installation,6500,2/4/2025,Operations,HVAC System Upgrade,Execution,PureAir Solutions,FALSE,3,CapEx,
I-0088,DevOps Automation,CI/CD pipeline implementation,14200,1/12/2025,Information Technology (IT),AI Software Development,Execution,DeployFlow Systems,FALSE,3,CapEx,
I-0089,Wayfinding Signage,Interior navigation signs,12500,1/31/2025,Operations,Downtown Office Tower,Completion,DirectPath Signage,FALSE,8,CapEx,
I-0090,Weather Stripping,Roof edge sealing and flashing,2800,2/11/2025,Operations,Annual Roof Inspection,Execution,SealTight Materials,FALSE,5,CapEx,
I-0091,Sales Training,Consultative selling techniques,4200,1/27/2025,Sales,Employee Training Initiative,Execution,RevenuePlus Training,FALSE,0,OpEx,
I-0092,Network Infrastructure,Fiber optic cabling and switches,74000,1/9/2025,Information Technology (IT),Downtown Office Tower,Execution,NetConnect Systems,FALSE,7,CapEx,
I-0093,Diagnostic Equipment,HVAC system testing tools,8600,2/6/2025,Operations,HVAC System Upgrade,Execution,TechTest Equipment,FALSE,6,CapEx,
I-0094,Cloud Security,Advanced threat protection,11200,1/15/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,CloudGuard Security,TRUE,1,OpEx,
I-0095,Bathroom Fixtures,"Toilets, sinks, and faucets",32000,1/21/2025,Operations,Downtown Office Tower,Execution,ModernBath Fixtures,FALSE,15,CapEx,
I-0096,Moisture Barrier,Roof underlayment replacement,7800,2/17/2025,Operations,Annual Roof Inspection,Execution,DryShield Materials,FALSE,10,CapEx,
I-0097,Presentation Skills Training,Public speaking workshop,2600,1/28/2025,Human Resources (HR),Employee Training Initiative,Execution,SpeakConfident Training,FALSE,0,OpEx,
I-0098,Monthly Staff Payroll,Salary for project team members,82000,1/31/2025,Finance/Accounting,AI Software Development,Ongoing Maintenance,Internal Payroll,TRUE,0,OpEx,
I-0099,Property Tax Payment,Annual tax on office building,24000,2/1/2025,Finance/Accounting,Downtown Office Tower,Ongoing Maintenance,City Tax Authority,TRUE,0,OpEx,
I-0100,Software Patent Filing,Legal protection for AI algorithm,14500,1/20/2025,Legal,AI Software Development,Planning,IP Protection Services,FALSE,0,OpEx,
I-0101,Server Hardware Upgrade,,25000,1/15/2025,Information Technology (IT),AI Software Development,Execution,Dell Technologies,FALSE,5,CapEx,
I-0102,Office Furniture Purchase,Ergonomic desks and chairs for downtown office,18500,1/18/2025,Operations,Downtown Office Tower,Planning,Office Depot,FALSE,7,CapEx,
I-0103,Monthly Cloud Services,AWS cloud hosting services,4500,1/20/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,Amazon Web Services,TRUE,1,OpEx,
I-0104,Legal Consultation,Contract review for new vendor agreements,3200,1/22/2025,Legal,Downtown Office Tower,Planning,Smith & Associates,FALSE,1,OpEx,
I-0105,Marketing Campaign Materials,,7800,1/25/2025,Marketing,Downtown Office Tower,Execution,PrintPro Solutions,FALSE,1,OpEx,
I-0106,HVAC Installation,Primary system installation for office tower,42000,1/28/2025,Operations,HVAC System Upgrade,Execution,Cool Air Systems,FALSE,15,CapEx,
I-0107,Employee Training Workshop,Leadership development program,6500,1/30/2025,Human Resources (HR),Employee Training Initiative,Execution,Leadership Academy,FALSE,1,OpEx,
I-0108,Software License Renewal,Annual subscription for design software,9800,2/1/2025,Information Technology (IT),AI Software Development,Ongoing Maintenance,Adobe Inc.,TRUE,1,OpEx,
I-0109,Building Inspection Services,,4200,2/3/2025,Operations,Annual Roof Inspection,Execution,SafetyFirst Inspections,FALSE,1,OpEx,
I-0110,Financial Audit Services,Annual financial audit,12000,2/5/2025,Finance/Accounting,Downtown Office Tower,Execution,Deloitte,TRUE,1,OpEx,
I-0111,Network Infrastructure Upgrade,New switches and routers,31500,2/8/2025,Information Technology (IT),AI Software Development,Execution,Cisco Systems,FALSE,6,CapEx,
I-0112,Talent Acquisition Platform,Annual subscription for recruitment software,8700,2/10/2025,Human Resources (HR),Employee Training Initiative,Ongoing Maintenance,Workday,TRUE,1,OpEx,
I-0113,Market Research Study,,15000,2/12/2025,Marketing,Downtown Office Tower,Planning,Nielsen Research,FALSE,1,OpEx,
I-0114,CRM System Implementation,Customer relationship management software,35000,2/15/2025,Sales,AI Software Development,Execution,Salesforce,FALSE,5,CapEx,
